Threshold,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,Accuracy_Mean,Accuracy_STD
0.0,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.01,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.02,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.03,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.04,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.05,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.06,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.07,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.08,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.09,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.1,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.11,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.12,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.13,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.14,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.15,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.16,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.17,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.18,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.19,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.2,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.21,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.22,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.23,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.24,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.25,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.26,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.27,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.28,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.29,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.3,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.31,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.32,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.33,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.34,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.35000000000000003,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.36,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.37,0.955,0.2074078542823729,0.0,0.0,0.15166666666666667,0.08558934169600305
0.38,0.955,0.2074078542823729,0.04259349555673086,0.051730748547702717,0.18794444444444447,0.09170935093813465
0.39,0.955,0.2074078542823729,0.04259349555673086,0.051730748547702717,0.18794444444444447,0.09170935093813465
0.4,0.955,0.2074078542823729,0.04259349555673086,0.051730748547702717,0.18794444444444447,0.09170935093813465
