Threshold,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,Accuracy_Mean,Accuracy_STD
0.0,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.01,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.02,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.03,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.04,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.05,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.06,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.07,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.08,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.09,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.1,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.11,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.12,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.13,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.14,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.15,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.16,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.17,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.18,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.19,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.2,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.21,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.22,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.23,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.24,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.25,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.26,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.27,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.28,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.29,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.3,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.31,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.32,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.33,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.34,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.35000000000000003,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.36,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.37,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.38,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.39,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.4,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.41000000000000003,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.42,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.43,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.44,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.45,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.46,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.47000000000000003,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
0.48,0.999,0.03162277660168379,0.0,0.0,0.665,0.1940257181732514
